StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
StopLossHunter_Initial_4,2021-Nov-05 16:38:18.902752,MSFT,1,336.340000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145283,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:38:25.090885,MSFT,-1,336.190000,0.008731,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145284,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:38:37.789451,MSFT,1,336.140000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145285,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:38:50.881009,MSFT,-1,336.140000,0.008730,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145286,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:38:59.599974,MSFT,1,336.210000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145287,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:38:59.837170,MSFT,-1,336.160000,0.008730,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145288,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:39:20.918780,MSFT,1,336.210000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145289,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:49:28.069891,MSFT,-1,336.150000,0.008730,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145290,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:49:35.593772,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145291,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:49:37.255453,MSFT,-1,336.000000,0.008726,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145292,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:49:37.262750,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145293,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:50:02.076898,MSFT,-1,336.000000,0.008726,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145294,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:50:02.076930,MSFT,1,336.110000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145295,,FILL
